1;Železničná dráha
4
kod;Int16;2;Číselný kód dráhy
skratka;String;20;Skratka dráhy
nazov;String;200;Názov dráhy
iD;Int32;4;Identifikátor záznamu
33;Smer
3
kod;Int16;2;Číselný kód smeru
popis;String;200;Popis smeru
iD;Int32;4;Identifikátor záznamu
55;Stát
4
kod;Int16;2;Číselný kód krajiny
skratka3;String;200;Skratka krajiny - 3 znaky
nazov;String;200;Názov krajiny
iD;Int32;4;Identifikátor záznamu
1000;Dopravné body
4
cislo;Int64;8;Číslo dopravného bodu
nazov;String;20;Názov dopravného bodu
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1001;Dopravné úseky
12
cislo;Int32;4;Číslo dopravného úseku
rozhodnySpadPreHmVSmere;Int16;2;Rozhodný spád pre normatív hmotnosti v smere
rozhodnySpadPreHmProti;Int16;2;Rozhodný spád pre normatív hmotnosti v protismere
rozhodneStupaniePreHmVSmere;Int16;2;Rozhodný stúpanie pre normatív hmotnosti v smere
rozhodneStupaniePreHmProti;Int16;2;Rozhodný stúpanie pre normatív hmotnosti v protismere
rozhodnySpadPreBrzdPerVSmere;Int16;2;Rozhodný spád pre určenie brzdného percenta v smere
rozhodnySpadPreBrzdPerProti;Int16;2;Rozhodný spád pre určenie brzdného percenta v protismere
triedaSklonuSmer;String;20;Trieda sklonu v smere
triedaSklonuProti;String;20;Trieda sklonu v protismere
sankcia;Boolean;4;Príznak sankcie za nevyužitie kapacity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1004;Staničné koľaje
5
cislo;String;5;Číslo koľaje
zaciatok;Double;8;Kilometrická poloha začiatku koľaje
koniec;Double;8;Kilometrická poloha konca koľaje
fidParent;WSFid;1000;ID vlastníka entity
iD;Int32;4;Databázové ID záznamu
1005;Traťové koľaje
6
cislo;String;5;Číslo koľaje
extra;Boolean;4;Indikátor extra koľaje
zaciatok;Double;8;Kilometrická poloha začiatku koľaje
koniec;Double;8;Kilometrická poloha konca koľaje
fidParent;WSFid;1001;ID vlastníka entity
iD;Int32;4;Databázové ID záznamu
1043;Prechod stanica-stanica
6
cislo;Int16;2;Číslo SS prechodu
zaciatok;Double;8;Kilometrická poloha začiatku prechodu
koniec;Double;8;Kilometrická poloha konca prechodu
fidParent;WSFid;1000;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1044;Prechod trať-stanica
6
cislo;Int16;2;Číslo SS prechodu
zaciatok;Double;8;Kilometrická poloha začiatku prechodu
koniec;Double;8;Kilometrická poloha konca prechodu
fidParent;WSFid;1000;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1045;Prechod trať-trať
6
cislo;Int16;2;Číslo SS prechodu
zaciatok;Double;8;Kilometrická poloha začiatku prechodu
koniec;Double;8;Kilometrická poloha konca prechodu
fidParent;WSFid;1000;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1061;Redukované profily - staničná koľaj
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1004;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1062;Redukované profily - traťová koľaj profily
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1005;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1063;Redukované profily – SS prechod
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1043;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1064;Redukované profily – TS prechod
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1044;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
1065;Redukované profily – TT prechod
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1045;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
